Definition of Group,,,,,,,
Name,MOTREG_I,,,,,,
Size of Use,100,,,,,,
Start register,400,,,,,,
Comment,MIII motion register definition input,,,,,,
,,,,,,,
Definition,,,,,,,
No.,Name,Value,Unit,Lower,Upper,Register,Comment
0,RUN_STATUS,0,,,,CW400,
1,WARNINGS,2,,,,CW401,
2,ALARMS,4,,,,CW402,
3,COMMAND_RESPONSE,8,,,,CW403,
4,COMMAND_STATUS,9,,,,CW404,
5,POSITION_STATUS,12,,,,CW405,
6,TPOS,13,,,,CW406,
7,CPOS,16,,,,CW407,
8,MPOS,18,,,,CW408,
9,APOS,22,,,,CW409,
10,LPOS,24,,,,CW410,
11,PERR,26,,,,CW411,
12,FEEDBACK_SPEED,64,,,,CW412,
13,TORQUE_MONITOR,66,,,,CW413,
