Definition of Group
Name,MOTREG_O
Size of Use,100
Start register,600
Comment,motion register output

Definition
No.,Name,Value,Unit,Lower,Upper,Register,Comment
0,OPERATION,0,,,,CW00600, 
1,COMMAND,8,,,,CW00601, 
2,COMMAND_FLAGS,9,,,,CW00602, 
3,SPEED_REFERENCE,16,,,,CW00603, 
4,TORQUE_LIMIT,20,,,,CW00604, 
5,OVERRIDE,24,,,,CW00605, 
6,POSITION_REFERENCE,26,,,,CW00606, 
7,POSITION_COMPLETION_REFERENCE,28,,,,CW00607, 
8,ACC_RATE,54,,,,CW00608, 
9,DEC_RATE,56,,,,CW00609, 
10,ZRN_METHOD,60,,,,CW00610, 
11,APPROCH_SPEED,62,,,,CW00611, 
12,CREEP_SPEED,64,,,,CW00612, 
13,ZRN_DISTANCE,66,,,,CW00613, 
14,WC_OFFSET,74,,,,CW00614, 
